user,x,y,lean
Occupy Democrats,1,1,Hard Left
Occupy Democrats,1,2,Hard Left
The Daily Show,2,1,Lean Left
Kamala Harris,3,1,Lean Left
Heather Cox Richardson,4,1,Lean Left
Barack Obama,5,1,Lean Left
CNN,6,1,Lean Left
CNN,6,2,Lean Left
CNN,6,3,Lean Left
CNN,6,4,Lean Left
CNN,6,5,Lean Left
CNN,6,6,Lean Left
CNN,6,7,Lean Left
CNN,6,8,Lean Left
CNN,6,9,Lean Left
CNN,6,10,Lean Left
CNN,6,11,Lean Left
CNN,6,12,Lean Left
The New York Times,7,1,Lean Left
The New York Times,7,2,Lean Left
The New York Times,7,3,Lean Left
The Washington Post,8,1,Lean Left
NBC News,9,1,Lean Left
ABC News,10,1,Lean Left
NPR,11,1,Neutral
NPR,11,2,Neutral
The Dodo,12,1,Neutral
BTW21,13,1,Neutral
Dre Ennis,14,1,Neutral
Fox 26 Houston,15,1,Neutral
KOCO 5 News,16,1,Neutral
NBC News World,17,1,Neutral
Daniel D.,18,1,Neutral
Fox News,19,1,Far Right
Fox News,19,2,Far Right
Fox News,19,3,Far Right
Fox News,19,4,Far Right
Fox News,19,5,Far Right
Fox News,19,6,Far Right
Judge Jeanine Pirro,20,1,Far Right
Judge Jeanine Pirro,20,2,Far Right
Judge Jeanine Pirro,20,3,Far Right
Judge Jeanine Pirro,20,4,Far Right
The White House,21,1,Far Right
Donald J. Trump,22,1,Far Right
Donald J. Trump,22,2,Far Right
Donald J. Trump,22,3,Far Right
Donald J. Trump,22,4,Far Right
Donald J. Trump,22,5,Far Right
Donald J. Trump,22,6,Far Right
Donald J. Trump,22,7,Far Right
Donald J. Trump,22,8,Far Right
Donald J. Trump,22,9,Far Right
Donald J. Trump,22,10,Far Right
Franklin Graham,23,1,Far Right
Franklin Graham,23,2,Far Right
Franklin Graham,23,3,Far Right
Franklin Graham,23,4,Far Right
USA Patriots for Donald Trump,24,1,Far Right
USA Patriots for Donald Trump,24,2,Far Right
Team Trump,25,1,Far Right
Team Trump,25,2,Far Right
Dan Bongino,26,1,Far Right
Dan Bongino,26,2,Far Right
Dan Bongino,26,3,Far Right
Dan Bongino,26,4,Far Right
Dan Bongino,26,5,Far Right
Dan Bongino,26,6,Far Right
Dan Bongino,26,7,Far Right
Dan Bongino,26,8,Far Right
Dan Bongino,26,9,Far Right
Dan Bongino,26,10,Far Right
Dan Bongino,26,11,Far Right
Dan Bongino,26,12,Far Right
Dan Bongino,26,13,Far Right
Dan Bongino,26,14,Far Right
Dan Bongino,26,15,Far Right
Dan Bongino,26,16,Far Right
